"ID","Species","metersLongitude","metersLatitude","decimalLatitude","decimalLongitude","source_ID","Sex","Age","Day","Month","Year","sampling_method","uncertainty","Sourcefile","yDay","wind_killed","d2H"
"X215","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald292","M","J",14,8,2006,"TURBINE_CARCASS",NA,"Baerwald",226,"yes",-60.3365771309748
"X216","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald293","M","J",18,8,2006,"TURBINE_CARCASS",NA,"Baerwald",230,"yes",-51.7336418139996
"X217","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald294","M","J",4,8,2006,"TURBINE_CARCASS",NA,"Baerwald",216,"yes",-48.6355995875099
"X218","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald295","M","J",9,8,2007,"TURBINE_CARCASS",NA,"Baerwald",221,"yes",-46.9182407010495
"X219","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald3","F","A",29,8,2007,"TURBINE_CARCASS",NA,"Baerwald",241,"yes",-156.608491492255
"X220","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald30","F","A",12,9,2006,"TURBINE_CARCASS",NA,"Baerwald",255,"yes",-87.3138277244155
"X221","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald31","F","A",25,8,2006,"TURBINE_CARCASS",NA,"Baerwald",237,"yes",-86.4919819764395
"X222","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald32","F","A",28,8,2007,"TURBINE_CARCASS",NA,"Baerwald",240,"yes",-86.3895125202168
"X223","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald33","F","A",12,8,2007,"TURBINE_CARCASS",NA,"Baerwald",224,"yes",-86.0674996002623
"X224","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald34","F","A",31,8,2007,"TURBINE_CARCASS",NA,"Baerwald",243,"yes",-85.5561715067477
"X225","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald35","F","A",16,8,2006,"TURBINE_CARCASS",NA,"Baerwald",228,"yes",-85.0137938103422
"X226","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald36","F","A",11,9,2006,"TURBINE_CARCASS",NA,"Baerwald",254,"yes",-81.1773097030854
"X227","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald37","F","A",8,9,2006,"TURBINE_CARCASS",NA,"Baerwald",251,"yes",-80.9883030377282
"X228","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald38","F","A",12,8,2007,"TURBINE_CARCASS",NA,"Baerwald",224,"yes",-54.9475197609946
